Date,Age,Gender,City,Tier,Occupation,Other Occupation,CRY Source,Other CRY Source,Volunteering Location Preference
09/29/2025,22,Female,Kolkata ,,College/University Student,,Others,,Kolkata
09/27/2025,21,Female,Kolkata ,,College/University Student,,Online ads and Posts,,Kolkata
09/26/2025,24,Male,Kolkata,,Working Professional,,CRY Website,,Kolkata
09/26/2025,18,Female,Kolkata ,,College/University Student,,Social Media Sites,,Kolkata
09/26/2025,19,Female,Kolkata ,,College/University Student,,Social Media Sites,,Kolkata
09/26/2025,18,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
09/26/2025,19,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
09/24/2025,23,Female,Kolkata,,Working Professional,,CRY Website,,Kolkata
09/23/2025,25,Female,Tinsukia,,College/University Student,,Social Media Sites,,Kolkata
09/22/2025,20,Female,Kolkata ,,College/University Student,,Family/Friend,,Kolkata
09/21/2025,20,Female,Howrah ,,College/University Student,,Family/Friend,,Kolkata
09/20/2025,19,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
09/20/2025,17,Female,Kolkata,,College/University Student,,Others,,Kolkata
09/20/2025,20,Male,Kolkata,,School Student,,CRY Website,,Kolkata
09/19/2025,26,Female,Kolkata ,,Working Professional,,CRY Website,,Kolkata
09/19/2025,17,Female,patna,,School Student,,Social Media Sites,,Kolkata
09/18/2025,22,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
09/18/2025,21,Male,Dattapulia,,Other,Self Employee,CRY Website,,Kolkata
09/16/2025,20,Female,Kolkata,,College/University Student,,Others,,Kolkata
09/16/2025,20,Female,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
09/15/2025,45,Female,Kolkata,,Home Maker,,Family/Friend,,Kolkata
09/15/2025,20,Male,Bokaro,,College/University Student,,Others,,Kolkata
09/14/2025,24,Female,Kolkata ,,College/University Student,,CRY Website,,Kolkata
09/14/2025,14,Female,Krishnagar,,School Student,,Social Media Sites,,Kolkata
09/14/2025,26,Female,Howrah,,Other,Pursuing courses in counselling. I have done BBA.,Others,,Kolkata
09/13/2025,26,Female,Kolkata,,Working Professional,,CRY Website,,Kolkata
09/13/2025,25,Female,Kolkata,,Working Professional,,CRY Website,,Kolkata
09/12/2025,43,Female,Kolkata ,,Home Maker,,Others,,Kolkata
09/10/2025,21,Male,Kolkata,,College/University Student,,Social Media Sites,,Kolkata
09/10/2025,27,Male,Dhemaji,,Working Professional,,CRY Website,,Kolkata
09/09/2025,19,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
09/09/2025,32,Male,Kolkata,,Working Professional,,CRY Website,,Kolkata
09/09/2025,25,Female,Kolkata ,,Working Professional,,CRY Website,,Kolkata
09/08/2025,19,Female,Barrackpore,,College/University Student,,CRY Website,,Kolkata
09/08/2025,19,Male,Aurangabad,,College/University Student,,CRY Website,,Kolkata
09/05/2025,16,Female,Kolkata,,School Student,,Family/Friend,,Kolkata
09/05/2025,19,Male,Kolkata,,College/University Student,,Others,,Kolkata
09/04/2025,17,Female,Bhubaneswar,,School Student,,Social Media Sites,,Kolkata
09/04/2025,27,Male,Kolkata,,Personal Business,,CRY Website,,Kolkata
09/04/2025,16,Female,Mirzapur,,School Student,,CRY Website,,Kolkata
09/03/2025,19,Female,Kolkata,,College/University Student,,CRY Website,,Kolkata
09/03/2025,30,Male,Bankura ,,Working Professional,,CRY Website,,Kolkata
09/02/2025,29,Male,Gaya,,Personal Business,,CRY Website,,Kolkata
09/02/2025,28,Male,Bankura ,,Other,6 year experience filed executive ,CRY Website,,Kolkata
09/02/2025,42,Female,Kolkata ,,Home Maker,,Online ads and Posts,,Kolkata
